step,value
0,0.08677282929420471
1,0.01029397826641798
2,0.008047339506447315
3,0.007172522600740194
4,0.006537762004882097
5,0.006218860857188702
6,0.006067285314202309
7,0.006295587867498398
8,0.006408811081200838
9,0.006051395088434219
10,0.0055734566412866116
11,0.005323540419340134
12,0.00510506983846426
13,0.0048292833380401134
14,0.004792080260813236
15,0.004544890020042658
16,0.004362083505839109
17,0.0042102220468223095
18,0.004103981424123049
19,0.004080198705196381
20,0.00398003775626421
21,0.0038541622925549746
22,0.0037628619465976954
23,0.003785061649978161
24,0.003832407994195819
25,0.003677417291328311
26,0.003606319660320878
27,0.0036474938970059156
28,0.003789064008742571
29,0.003598221577703953
30,0.0036823786795139313
31,0.0034249057061970234
32,0.0033168259542435408
33,0.0033145544584840536
34,0.003288794541731477
35,0.0033173977863043547
36,0.0031195050105452538
37,0.0032148517202585936
38,0.0032470589503645897
39,0.003132634563371539
40,0.0030920947901904583
41,0.0029795770533382893
42,0.003088403260335326
43,0.0029909182339906693
44,0.0030845750588923693
45,0.0031440763268619776
46,0.003194400342181325
47,0.0032388216350227594
48,0.002937082666903734
49,0.0029250066727399826
50,0.0029617957770824432
51,0.003181869862601161
52,0.0032794377766549587
53,0.003216786775738001
54,0.0030928580090403557
55,0.002944106701761484
56,0.0028966031968593597
57,0.0029433052986860275
58,0.003168341936543584
59,0.0037029068917036057
60,0.003526234533637762
61,0.003057696158066392
62,0.0031117526814341545
63,0.0032170575577765703
64,0.0034950198605656624
65,0.0037114787846803665
66,0.003454884048551321
67,0.0037148515693843365
68,0.005171610973775387
69,0.0032422649674117565
70,0.0025695636868476868
71,0.00235688011161983
72,0.0022450676187872887
73,0.0021711152512580156
74,0.002119914861395955
75,0.0020812773145735264
76,0.0020501757971942425
77,0.0020239544101059437
78,0.00200070021674037
79,0.0019797193817794323
80,0.0019606314599514008
81,0.001942958915606141
82,0.0019259810214862227
83,0.0019099825294688344
84,0.0018950816011056304
85,0.0018814252689480782
86,0.001868615159764886
87,0.0018576157744973898
88,0.0018474662210792303
89,0.001839541015215218
90,0.0018327520228922367
91,0.0018294260371476412
92,0.001828585285693407
93,0.0018307666759938002
94,0.0018360521644353867
95,0.001844944548793137
96,0.001854001428000629
97,0.0018631423590704799
98,0.0018715764163061976
99,0.0018790345638990402
100,0.001889834413304925
101,0.0018899174174293876
102,0.0018987359944730997
103,0.0019009581301361322
104,0.002520847599953413
105,0.0027704567182809114
106,0.002369843889027834
107,0.002057112520560622
108,0.0019160351948812604
109,0.001836914918385446
110,0.0017839735373854637
111,0.0017455150373280048
112,0.0017162554431706667
113,0.0016932340804487467
114,0.001674594939686358
115,0.0016591813182458282
116,0.0016461571212857962
117,0.0016348508652299643
118,0.001624996424652636
119,0.0016163475811481476
120,0.0016086450777947903
121,0.0016017084708437324
122,0.0015953279798850417
123,0.0015893930103629827
124,0.0015838100807741284
125,0.0015785626601427794
